timestamp,sensor_prob,dem_mean,dem_max,dem_min,dem_std,image_prob,alert_prob,status
2025-09-17 21:45:30.182661,0.15,0,0,0,0,0.0,0.06,NORMAL
2025-09-17 21:45:31.177986,0.37,0,0,0,0,0.0,0.148,NORMAL
2025-09-17 21:45:32.186554,0.03,0,0,0,0,0.0,0.012,NORMAL
2025-09-17 21:45:33.190836,0.1,0,0,0,0,0.0,0.04000000000000001,NORMAL
2025-09-17 21:45:34.194901,0.2,0,0,0,0,0.0,0.08000000000000002,NORMAL
2025-09-17 21:45:35.200479,0.08,0,0,0,0,0.0,0.032,NORMAL
2025-09-17 21:45:36.196753,0.01,0,0,0,0,0.0,0.004,NORMAL
2025-09-17 21:45:37.205608,0.15,0,0,0,0,0.0,0.06,NORMAL
2025-09-17 21:45:38.213000,0.07,0,0,0,0,0.0,0.028000000000000004,NORMAL
2025-09-17 21:45:39.211143,0.14,0,0,0,0,0.0,0.05600000000000001,NORMAL
2025-09-17 21:45:40.215993,0.05,0,0,0,0,0.0,0.020000000000000004,NORMAL
2025-09-17 21:45:41.220982,0.23,0,0,0,0,0.0,0.09200000000000001,NORMAL
2025-09-17 21:45:42.232038,0.04,0,0,0,0,0.0,0.016,NORMAL
2025-09-17 21:45:43.231704,0.03,0,0,0,0,0.0,0.012,NORMAL
2025-09-17 21:45:44.242519,0.07,0,0,0,0,0.0,0.028000000000000004,NORMAL
2025-09-17 21:45:45.249296,0.12,0,0,0,0,0.0,0.048,NORMAL
2025-09-17 21:45:46.246826,0.01,0,0,0,0,0.0,0.004,NORMAL
2025-09-17 21:45:47.259559,0.06,0,0,0,0,0.0,0.024,NORMAL
2025-09-17 21:45:48.258205,0.13,0,0,0,0,0.0,0.052000000000000005,NORMAL
2025-09-17 21:45:49.255800,0.06,0,0,0,0,0.0,0.024,NORMAL
2025-09-17 21:45:50.260573,0.16,0,0,0,0,0.0,0.064,NORMAL
2025-09-17 21:45:51.265636,0.02,0,0,0,0,0.0,0.008,NORMAL
